paperid,R_sources,R_methods,R_experiments,R_sinks,R_c,R_s,R,r_c1_sources_consumed,r_c2_sinks_produced,r_c3_inputs_resolved,r_c4_source_sink_reachability,r_c5_lwcc,n_sources,n_methods,n_experiments,n_sinks,R_0_4
2023_17_article,1.000000,0.916667,0.950000,0.900000,0.943333,1.000000,0.971253,1.000000,1.000000,1.000000,1.000000,1.000000,2,3,2,6,3.913760
2023_18_article,0.375000,0.787500,1.000000,0.828571,0.718571,0.629167,0.672385,0.166667,1.000000,1.000000,0.166667,0.750000,6,4,3,7,3.017154
2023_19_article,0.250000,0.860000,1.000000,0.800000,0.687000,1.000000,0.828855,1.000000,1.000000,1.000000,1.000000,1.000000,6,5,5,9,3.486564
2023_20_article,0.437500,1.000000,0.975000,0.823333,0.773250,0.920000,0.843439,1.000000,1.000000,1.000000,0.466667,1.000000,4,5,4,15,3.530318
2023_21_article,0.437500,,0.821429,0.814286,0.674777,0.760714,0.716458,0.750000,1.000000,1.000000,0.321429,0.500000,4,0,7,7,3.149375
2023_22_article,1.000000,0.916667,0.850000,0.850000,0.908333,1.000000,0.953065,1.000000,1.000000,1.000000,1.000000,1.000000,2,3,2,6,3.859196
2023_23_article,1.000000,0.875000,0.890000,0.908333,0.925500,0.772093,0.845324,0.500000,1.000000,1.000000,0.500000,0.813953,16,4,5,18,3.535971
2023_24_article,1.000000,0.816667,0.937500,0.800000,0.890833,1.000000,0.943840,1.000000,1.000000,1.000000,1.000000,1.000000,2,3,4,6,3.831519
2023_25_article,0.250000,0.620000,0.937500,0.741667,0.609000,0.704762,0.655134,0.333333,1.000000,1.000000,0.333333,0.809524,6,5,4,6,2.965401
2023_26_article,0.250000,0.562500,0.950000,0.778571,0.611071,1.000000,0.781711,1.000000,1.000000,1.000000,1.000000,1.000000,2,4,4,7,3.345132
2023_27_article,0.636364,0.878571,0.887500,0.818750,0.789748,0.796364,0.793049,0.909091,1.000000,1.000000,0.227273,0.566667,11,7,4,8,3.379147
2023_28_article,0.437500,1.000000,0.975000,0.820000,0.772250,0.920000,0.842894,1.000000,1.000000,1.000000,0.466667,1.000000,4,5,4,15,3.528681
2023_29_article,0.357143,0.785714,0.880000,0.787500,0.676536,1.000000,0.822518,1.000000,1.000000,1.000000,1.000000,1.000000,7,7,5,8,3.467554
2023_30_article,0.250000,0.710000,0.833333,0.754167,0.609917,0.536706,0.572142,0.285714,0.583333,1.000000,0.166667,0.629630,7,5,3,12,2.716425
2023_31_article,1.000000,0.800000,0.850000,0.842857,0.882857,0.933482,0.907817,1.000000,0.857143,1.000000,0.857143,0.937500,3,3,3,7,3.723450
2023_32_article,0.250000,0.966667,1.000000,0.811538,0.711795,1.000000,0.843679,1.000000,1.000000,1.000000,1.000000,1.000000,6,6,4,13,3.531038
2023_33_article,0.000000,0.925000,0.883333,0.750000,0.586667,1.000000,0.765942,1.000000,1.000000,1.000000,1.000000,1.000000,1,4,3,4,3.297825
2023_34_article,0.500000,0.600000,0.950000,0.800000,0.700000,0.857843,0.774913,0.666667,1.000000,1.000000,0.666667,0.941176,3,6,4,4,3.324739
2023_35_article,0.500000,1.000000,1.000000,0.873333,0.812000,0.831429,0.821657,1.000000,1.000000,1.000000,0.333333,0.542857,3,9,8,15,3.464971
2023_36_article,0.583333,0.575000,0.600000,0.650000,0.605000,0.810417,0.700216,1.000000,1.000000,1.000000,0.291667,0.444444,6,4,4,4,3.100647
2023_37_article,0.300000,0.750000,1.000000,0.820000,0.686000,0.903333,0.787202,0.800000,1.000000,1.000000,0.800000,0.888889,10,2,1,5,3.361605
2023_38_article,0.272727,0.950000,0.941667,0.775000,0.692652,0.933387,0.804060,1.000000,1.000000,1.000000,0.694805,0.861111,11,5,6,14,3.412180
2023_39_article,0.250000,0.250000,1.000000,0.683333,0.530000,1.000000,0.728011,1.000000,1.000000,1.000000,1.000000,1.000000,3,2,1,3,3.184033
2023_40_article,0.250000,0.725000,0.800000,0.768750,0.610625,0.647917,0.628995,0.333333,0.875000,1.000000,0.250000,0.722222,6,2,2,8,2.886984
2023_41_article,0.500000,0.554545,0.866667,0.790000,0.671242,0.724848,0.697531,0.666667,1.000000,1.000000,0.266667,0.454545,3,11,3,5,3.092592
2023_42_article,1.000000,0.800000,0.850000,0.892857,0.897857,0.933482,0.915496,1.000000,0.857143,1.000000,0.857143,0.937500,3,3,3,7,3.746489
2023_43_article,1.000000,0.750000,0.883333,0.892857,0.894524,1.000000,0.945793,1.000000,1.000000,1.000000,1.000000,1.000000,3,2,3,7,3.837378
2023_44_article,0.250000,0.750000,0.750000,0.830000,0.624000,0.796436,0.704965,0.857143,0.866667,1.000000,0.200000,0.903226,7,4,5,15,3.114896
2023_45_article,1.000000,0.650000,0.840000,0.785714,0.833714,1.000000,0.913080,1.000000,1.000000,1.000000,1.000000,1.000000,5,3,5,7,3.739239
2023_46_article,0.500000,0.800000,0.600000,0.762500,0.658750,0.896875,0.768646,1.000000,1.000000,1.000000,0.500000,0.812500,2,3,3,8,3.305937
2023_47_article,0.050000,0.616667,0.743750,0.812500,0.530833,1.000000,0.728583,1.000000,1.000000,1.000000,1.000000,1.000000,5,3,8,8,3.185749
2023_48_article,0.625000,0.885714,1.000000,0.850000,0.819643,0.778571,0.798843,0.500000,1.000000,1.000000,0.500000,0.857143,6,7,2,6,3.396530
2023_49_article,0.250000,0.950000,0.985714,0.814286,0.706429,0.772955,0.738943,0.555556,1.000000,1.000000,0.380952,0.846154,9,3,7,7,3.216830
2023_50_article,0.272727,0.800000,0.890000,0.754545,0.646182,0.861997,0.746329,1.000000,1.000000,1.000000,0.305785,0.774194,11,4,5,11,3.238986
2025_01_article,0.000000,0.912500,0.900000,0.786364,0.598409,0.848701,0.712650,1.000000,1.000000,1.000000,0.181818,0.809524,1,4,5,11,3.137951
2025_02_article,0.187500,0.775000,0.940909,0.805000,0.640932,0.981250,0.793041,1.000000,1.000000,1.000000,0.875000,1.000000,4,4,11,10,3.379124
2025_03_article,0.000000,1.000000,0.950000,0.836364,0.640909,0.877273,0.749835,1.000000,1.000000,1.000000,0.181818,1.000000,6,1,10,11,3.249504
2025_04_article,0.583333,0.950000,1.000000,0.850000,0.820000,0.776190,0.797795,1.000000,1.000000,1.000000,0.222222,0.285714,3,7,5,6,3.393384
2025_05_article,0.250000,0.925000,0.914286,0.823810,0.690000,1.000000,0.830662,1.000000,1.000000,1.000000,1.000000,1.000000,3,4,7,21,3.491987
2025_06_article,0.125000,0.400000,0.700000,0.787500,0.493750,0.773810,0.618117,0.666667,1.000000,1.000000,0.333333,0.714286,6,2,5,8,2.854351
2026_01_article,0.375000,0.950000,0.916667,0.870000,0.746833,0.612045,0.676089,0.166667,1.000000,1.000000,0.105556,0.696970,12,3,3,15,3.028266
2026_02_article,0.000000,0.530000,0.550000,0.570000,0.387000,0.920000,0.596691,1.000000,1.000000,1.000000,0.466667,1.000000,3,5,2,5,2.790073
